seed,technique_removed,iter,loss_total,loss_pde,loss_bc,loss_ic,l2_error,bc_rmse,wall_time
0,member0,1,3.023483e+04,2.947202e+04,7.538168e+01,8.985792e-01,1.841827e+00,5.593279e-01,2.20
0,member0,250,3.388480e+01,6.899374e+00,1.484713e-02,1.820315e-03,1.024910e-01,6.181023e-02,40.84
0,member0,500,2.200768e+01,1.102761e+01,3.105611e-02,5.122732e-04,7.020313e-02,2.896919e-02,79.70
0,member0,750,9.411469e+00,1.828188e+00,1.949414e-02,3.055955e-04,6.263236e-02,2.475599e-02,119.06
0,member0,1000,1.131135e+01,5.517143e+00,1.243663e-02,3.012171e-04,5.859445e-02,2.068829e-02,158.35
0,member0,1250,6.053362e+00,3.261042e+00,2.640556e-03,1.586714e-04,4.902299e-02,2.190195e-02,197.46
0,member0,1500,8.087488e+00,4.313072e+00,1.660870e-02,1.500538e-04,4.633121e-02,2.226311e-02,236.72
0,member0,1750,3.203214e+00,6.102703e-01,9.975584e-03,1.281422e-04,3.869954e-02,1.703523e-02,275.86
0,member0,2000,4.212937e+00,2.400365e+00,7.653946e-03,7.205507e-05,3.492717e-02,1.781370e-02,315.09
0,member0,2250,2.735746e+00,6.118301e-01,5.726224e-03,1.398957e-04,3.670113e-02,1.457967e-02,354.19
0,member0,2500,3.705182e+00,2.225942e+00,8.771286e-03,8.593654e-05,2.935141e-02,1.949404e-02,393.30
0,member0,2750,4.382146e+00,4.311946e-01,2.808218e-02,8.440200e-05,2.737395e-02,1.455818e-02,432.45
0,member0,3000,2.382420e+00,1.163285e+00,7.547291e-03,3.846409e-05,2.573377e-02,1.392675e-02,471.66
0,member0,3250,1.379054e+00,1.763416e-01,5.036146e-03,2.784945e-05,2.731942e-02,1.189741e-02,510.88
0,member0,3500,2.093395e+00,9.968311e-01,5.019286e-03,2.990775e-05,2.199164e-02,1.103418e-02,549.94
0,member0,3750,1.638394e+00,2.607393e-01,8.793199e-03,3.825433e-05,2.010394e-02,9.917992e-03,589.19
0,member0,4000,1.849533e+00,5.074421e-01,1.079103e-03,1.069653e-04,2.534057e-02,1.761902e-02,628.45
0,member0,4250,9.645802e-01,1.602564e-01,4.097076e-03,5.342779e-05,2.275470e-02,9.370862e-03,667.80
0,member0,4500,1.714731e+00,9.953525e-01,5.008043e-03,3.446540e-05,1.848002e-02,9.300163e-03,707.05
0,member0,4750,1.036959e+00,1.208469e-01,5.406399e-03,2.901643e-05,1.982128e-02,9.755514e-03,746.30
0,member0,5000,1.082366e+00,2.768067e-01,2.089358e-04,7.646923e-05,1.448370e-02,7.138386e-03,785.53
0,member0,5250,3.698663e-01,2.085365e-01,2.358714e-04,9.137344e-06,1.419996e-02,5.634481e-03,824.78
0,member0,5500,6.584997e-01,3.970946e-01,4.017545e-04,1.635585e-05,1.339252e-02,5.684485e-03,864.16
